,Close,High,Low,Open,Volume,rsi_14,rsi_30,roc_9,mom_30,macd,ema_10,ema_30,ema_200,%k_10,%d_10,%k_30,%d_30,%k_200,%d_200,bb_mavg,bb_high,bb_low,atr_14,cci_20,cmf_20,obv,adl
2024-07-29,66819.9140625,69987.5390625,66532.59375,68259.0546875,40780682628,57.86910541037062,54.1517049134107,-0.5117863353118264,9.743456300499469,1560.2323651529223,66582.91400420379,64503.52915995677,59349.9148467795,51.37254055376556,68.92674064497591,80.53108138410943,87.71185824724073,80.3278026854614,82.62650719884603,64427.928515625,71696.54342187147,57159.31360937853,2378.280200606554,79.11531996952472,0.11689445837016153,1263897799095,4697061880457.195
2024-07-30,66201.015625,66987.671875,65323.19140625,66819.0546875,31380492109,55.39174208665242,53.12138166727102,-2.866292234133854,5.620323224192387,1440.0567917895896,66513.47793525764,64613.04441576602,59418.08500377672,41.8715867884464,58.13904735223582,76.72719572492018,83.32385155314326,78.57097473801655,81.10090988292508,64850.8544921875,71469.54494987609,58232.16403449892,2327.294505473943,37.80043566475426,0.13923834514825398,1232517306986,4698780672463.269
2024-07-31,64619.25,66810.2109375,64532.046875,66201.2734375,31292785994,49.55298766004728,50.577121735903056,-4.388531521300876,2.8117960930899963,1203.310503065717,66169.07285611989,64613.44477603918,59469.83788931128,17.589279449940364,36.94446893071743,67.00531696006061,74.75453135636339,74.08091645392598,77.65989795913464,65214.5712890625,70873.2640287983,59555.8785493267,2323.785188118661,7.759857830018183,0.12877277419932526,1201224520992,4669883524934.075
2024-08-01,65357.5,65593.2421875,62248.94140625,64625.83984375,40975554494,52.09124736243139,51.69418082514725,-0.8648445467345726,5.366011924358989,1063.0043167086696,66021.51415500719,64661.44833887536,59528.4215919052,40.169533704073686,33.21013331415347,71.54276352276334,71.75842540258137,76.17654015179832,76.27614378124696,65587.473046875,70144.50167316776,61030.44442058225,2396.6791590566136,-37.563100630303914,0.16716060601898128,1242200075486,4705082286321.068
2024-08-02,61415.06640625,65523.22265625,61184.89453125,65353.5,43060875727,40.40069451090456,45.955996575724704,-6.05313951986183,2.0625953778253714,626.4676809821103,65183.97820068769,64452.004343222114,59547.19417712257,2.6148037011249725,20.124538951712992,47.3117012015379,61.95326056145395,64.9854026423496,71.74761974935797,65696.6287109375,69711.86454514951,61681.392876725484,2535.3683709097127,-122.2243725151121,0.09071486521962001,1199139199759,4666590637365.142
2024-08-03,60680.09375,62148.37109375,59836.52734375,61414.80859375,31753030589,38.658844943225134,44.992819597276494,-7.749084415495721,6.49796397878227,218.68226809398038,64365.09011874447,64208.655272691656,59558.466809688514,8.310170745757716,17.031502716985443,42.79439791297433,53.88295421242518,62.89908213340862,68.02034164251886,65691.24375,69733.00002014163,61649.48747985836,2519.402326559019,-203.40901362154662,0.06046727217439651,1167386169170,4658010271366.047
2024-08-04,58116.9765625,61062.98828125,57210.8046875,60676.09375,31758917219,33.27148531341335,41.830014310097866,-14.423190191727722,2.5671383568020225,-307.7650221242875,63229.06947215456,63815.64374300188,59544.12362314933,7.09235903638327,6.005777827755305,24.229740521997922,38.11194654550338,55.62332308356248,61.16926928644023,65353.5849609375,70570.7495531225,60136.4203687525,2614.6009885012318,-242.93704534283177,-0.021860676314845305,1135627251951,4641193029103.04
2024-08-05,53991.45703125,58268.828125,49121.23828125,58110.296875,108991085584,26.79816594747551,37.44693829723301,-20.382242983871052,-7.395918156233279,-1045.8177047354766,61549.503573808266,63181.8252454695,59488.87320929959,23.340115725621438,12.914215169254126,23.340115725621438,30.12141805353122,43.91247107445623,54.144958763809115,64798.300390625,71994.95800689707,57601.642774352935,3081.2430495904296,-299.91067390612454,-0.05696026944566275,1026636166367,4648256650313.032
2024-08-06,56034.31640625,57059.91796875,53973.2734375,53991.34765625,49300484106,33.679133992095544,40.633452534778314,-17.905494845852882,0.33162038450143144,-1449.1828169837245,60546.742270615854,62720.695642939216,59454.49950976676,33.13034829447077,21.187607685491813,33.13034829447077,26.900068180696703,49.71140709568302,49.74906708456725,64394.0765625,72543.15198375794,56245.00114124206,3081.6288697089703,-190.86167606779892,0.0011049707566532824,1075936650473,4664794920941.445
2024-08-07,55027.4609375,57726.8828125,54620.5078125,56040.6328125,41637562185,32.078630091472206,39.60480384636609,-17.648111779925262,-2.9585289296562776,-1829.0136652040455,59543.236573685695,62224.35792000766,59410.449374719334,28.305077733554008,28.258513917882055,28.305077733554008,28.258513917882066,46.85331000032932,46.8257293901562,63946.7462890625,73063.67716925699,54829.81540886802,3083.396450444044,-150.70035592423628,-0.031543766410641064,1034299088288,4634066882589.574
